races,classes,slots,n
16457,135,8,Imbued Field Plate Visor
3275,135,8,Imbued Field Plate Visor
16457,129,8,Imbued Field Plate Visor
3275,129,8,Imbued Field Plate Visor
16417,15360,8,Teir'dal Sovereign Veil
16481,19,8,Teir'dal Regent Visor
97,19,8,Dark Prince Regent Visor
19584,256,8,Underfoot Chainmail Veil
19648,256,8,Mischievous Chainmail Veil
3264,7,8,Underfoot Platemail Visor
3072,2,8,Mischievous Platemail Visor
17,14336,8,Blessed Artkeeper's Veil
49219,33544,8,Fine Seafarer's Veil
3947,129,8,Fierce Heraldic Visor
32841,128,8,Dragonkin Heraldic Visor
16389,15360,1536,Woven Platinum Wristband
16453,151,128,Rigid Steelweave Vambraces
69,134,128,Serene Steelweave Vambraces
1089,4,128,Stormreaper Steelwoven Vambraces
73,32,1536,Tunarean Soldier Wristguard
57417,151,262144,Cerulean Greaves
56181,16,4096,Malevolent Gauntlets
56117,16,262144,Malevolent Greaves
52413,2,128,Vambraces of Stability
61367,514,128,Shojen Vambraces
60667,33160,128,Dark Master Vambraces
28651,1,128,Medium Warrior Vambraces
72,256,131072,Tunic of the Tunarean Scout
24353,48401,98304,Runed Ebon Bracer of Shadow
63613,16000,32,Talisman of Vhal Sera
63307,16928,1048576,Belt of the Primalist
60669,33183,1536,Ice Forged Shackles
19640,33759,32,War Wolf Choker
32698,50143,32,Velium War Wolf Choker
62335,65535,1536,Xakra Kel Wristband
46923,16480,131072,Windskin Tunic
29442,512,128,Wolf Caller's Vambraces
24583,151,8,Baleen Plate Visor
33865,32,1536,Wristguard of Harmony
512,32768,131072,Torn Bonecutters Tunic*
102401,64,1536,Shackle of Steel
4096,64,1536,Wristwraps of Pain
8192,512,1536,Wristguard of the Dar Khura
14389,15360,256,Ancient Mystic Cloak
6197,15360,131072,Ancient Shining Metallic Robes
16383,32767,256,Ancient White Wolf-hide Cloak
4097,64,8,Ancient Pearlescent Mask
11499,384,8,Ancient Mask of Deception
2853,16,128,Ancient Darkforge Vambraces
3285,4,128,Ancient Vambraces of Ro
1097,8,128,Ancient Ivy Etched Sleeves
8265,128,128,Ancient Lambent Vambraces
3317,2,262144,Ancient Greaves of the Penitent
9087,16863,1536,Ancient Hero Bracers
12287,64,4096,Ancient Treant Fists
13059,16448,524288,Ancient Wu's Fighting Slippers
36864,32768,0,Piece of Aeriht's Book
256,16384,128,Stalwart Reaver Sleeves
8,264,128,Stalwart Wirewood Sleeves
81920,2048,131072,Slimy Tattered Robes
60671,546,4,Zaharn's Coronet
2,256,131072,Tunic of the White Rose
60671,546,4,Zaharn's Coronet
52437,4,131072,Wings of Virtue Apprentice Tunic*
56167,65535,32,The Skull of Torture
64767,16480,4,Tucked Headband of Dreams
53373,151,8,Sandblasted Steel Visor
41033,128,24576,Wroulf's Rallying Horn
65407,31840,64,Woven Wrap of the Bleak
19657,31840,2048,Idol of Brell Serilis
62210,512,1536,Rhodium Doomherald Wristband
60635,48111,16384,Bone Talisman
18468,1024,0,Globe of Shadow
1096,8,131072,Torn Bloody Tunic
52477,2048,24576,Thulian Wand
65503,65535,0,Putrid Rib Bone
4165,0,0,Cough Elixir
43061,65535,0,Sanguine Mind Crystal
2101,65535,0,Azure Mind Crystal
2101,65535,0,Azure Mind Crystal
43061,65535,0,Sanguine Mind Crystal
31490,65535,8192,Tinkerin' Tools
20331,33425,26624,Idol of Rallos Zek
75,33665,26624,Idol of the Tribunal
19657,47495,26624,Idol of Brell Serilis
16737,48915,26624,Idol of Innoruuk
77,15494,26624,Idol of Prexus
16475,48007,26624,Idol of Mithaniel Marr
18497,15635,26624,Idol of Bertoxxulous
19707,386,26624,Idol of Fizzlethorpe Bristlebane
93,14534,26624,Idol of Quellious
32,1024,24576,Writ of the Fallen
45023,65535,0,Drum
32767,65535,2097152,White Guide Issue Bridle
49151,32767,0,Wegar's Missing Pages
65535,65535,0,an essence of fear
16384,2,0,Water Soaked Journal
32638,65535,0,Fipok's Head
65664,65535,0,Stonewrath Chain Assembly Kit
45091,720,4194304,Seal of the Khan
65533,65535,4196352,Gnomish Handcannon
57343,65535,0,Write Note
43061,65535,0,Sanguine Mind Crystal
2101,65535,0,Azure Mind Crystal
73728,65535,0,Shar Vahl Sewing Kit
65552,65535,0,Koada`Dal Sewing Kit
67584,65535,0,Clockwork Sewing Kit
69632,65535,0,Iksar Sewing Kit
60343,34816,0,Steam Core: Intensity
56533,68,0,Steam Core: Purification
43133,8320,0,Steam Core: Dream
47927,20480,0,Steam Core: Consort
65463,514,0,Steam Core: Dedicant
0,0,0,lava golem flesh
18432,32767,0,Vial of Gases
34877,8192,0,Tiny Dagger
28672,50175,0,Twisted Arachnid Leg
28671,128,0,Song: Fatesong of the Gelidran Rk.II
45023,128,16384,Drum
45055,128,16384,Walrus Skin Drum
19296,48919,32,Silver Sigil of T`Vyl
19233,530,32,Sleek Black Beads
50265,47,98304,Ring of Pine
2173,2176,98304,Imbued Silver Fire Ring
58457,47599,98304,Glidara's Ring
19592,169,32,Kin Lore Necklace
7013,16159,18,Ancient Ivandyr's Hoop
55421,15360,18,Small Earring of Dire Chanting
64311,21504,18,Winged Gem of Command
17185,15874,8192,Writ of Innoruuk
32768,0,0,Veeshan's Children
55351,15360,1,Rarundel's Faded Memories
42057,168,24576,Foraging Machette
28547,15773,24576,Orc Pawn Pick
65527,20,8192,Massive Dragonclaw Shard
57333,20,8192,Yarnhilted Longsword
65515,393,24576,Zealot's Cleaver
80,4,8192,Natures Defender
8962,32785,8192,Weighted Axe
32643,32789,8192,Frostreaver
94978,512,8192,Spear of Fate
52405,2,8192,Water Sprinkler of Nem Ankh
62423,611,8192,Iron Bound Tome
64359,465,26624,Shaded Torch
62243,65143,8192,Enchanted Teir`Dal Great Staff
768,512,8192,Withered Totem of Widdershins
64295,50769,8192,Hammer of Exoneration
61567,1023,16384,Wooden Kite Shield
22565,16,16384,Ashenbone Shield
56501,15874,2048,Teacher's Syllabus
51253,2048,2048,Wood Elf Ancient Spellbook
36093,4096,24576,Wand of Swords
56573,1024,24576,Wand of Souls
45827,16448,24576,Zekhas' Katar
