races,classes,slots,n
65535,49087,128,Shadowbone Bracers
19584,33047,128,Lightcrawler Vambraces
65535,33117,256,Direwolf Fur Cloak
65535,553,32,Wolves Eye Necklace
65535,49565,1048576,Belt of the Great Turtle
8962,33553,131072,Giant Woven Vest
65535,48541,131072,Shardtooth's Flayed Skin
32698,50143,32,Velium War Wolf Choker
65535,50025,262144,Serpent Skin Leggings
65535,22,4096,Thunder Etched Gauntlets
55349,15362,131072,Sal`Varae's Robe of Darkness
65535,400,1048576,Girdle of Dark Power
65535,610,256,Cloak of the Sky
65535,272,131072,Poison Soaked Tunic
65535,32791,4,Truesight Helmet
65535,336,32,Necklace of Nightstalking
65535,65519,1536,Protector of Tunare Bracer
65535,15504,24576,Stone of the Black Storms
65535,10280,8,Recherche` Mask of Kindrad
13058,50171,32,Fabled Yelloweyes Collar
61439,49960,128,Fabled Brown Chitin Sleeves
65535,2048,1536,Wristcuff of Prismatic Power
65535,33544,128,Zraxthril Linked Sleeves
65535,16540,256,Zraxthril Splinted Cloak
9087,16863,1536,Ancient Hero Bracers
65535,663,131072,Fabled Chestplate of Vindication
65535,41,256,Fabled Cloak of Thorns
19584,33087,131072,Fabled Beer Stained Coldain Tunic
65535,48703,98304,Shattered Stone Ring
16384,23,128,Stalwart Protectorate Sleeves
1,96,128,Stalwart Sagacious Sleeves
512,33280,128,Stalwart Tyrant Sleeves
512,17,128,Stalwart Warborn Sleeves
8192,33536,128,Stalwart Khala Vir Sleeves
8,129,128,Stalwart Wealdstone Sleeves
65535,17020,1536,Wristguard of the Twisted
65535,50024,8,Guardian's Veil
65535,31900,256,Ragged Felt Cloak
65535,384,8,Visage of the Brute
65535,32318,64,Zabella's Woven Shawl
65535,50110,8,Mask of Fiery Vision
29442,513,131072,Spirit Watchers Apprentice Tunic*
65535,16400,2056,Tharknight's Vision of Innoruuk
65535,16992,262144,Primeval Leggings of Madness
65535,16958,524288,Tawny Leather Boots
65535,17086,8,Twisted Mask of Irony
65535,415,131072,Dwarven Ringmail Tunic
65535,15970,98304,Signet of Grisk
65535,415,131072,Dwarven Ringmail Tunic
2048,279,131072,Clockwork Shadowwalker Tunic
65535,32304,1048576,Ribbon of Empathy
53373,913,131072,Frosted Ringmail Tunic
8962,33681,8,Large Sandblasted Ringmail Veil
65535,49928,128,Gargantuan Armlinks
65535,49309,8,Veil of Mist
65535,352,262144,Scaled Leggings of Dark Dreams
65535,24096,2048,Golden Idol of Destruction
65535,16860,32,Necklace of Toxicity
65535,21504,256,Zulaqua's Cloak
65535,33089,64,Worn Magnetic Pauldrons
65535,33217,1048576,Fabled Cord of the Pyre
65535,26160,18,Fabled Earring of Temporal Solstice
65515,49609,32,Yuundu Claw Necklace
65535,544,32,Vivisector's Choker
65535,32314,8,Witheran Scale Mask
65535,150,1536,Drachnid Ornamental Bracer
65535,49992,1048576,Gloomy Chain Belt
65535,16736,1048576,Glowing Fungus Wrapped Belt
65535,33024,64,Woven Fungus Mantle
65535,145,8,Mould Covered Mask
65535,30816,32,Spiked Wurine Brooch
65535,16480,131072,Young Witheran Hide Tunic
65535,49608,32,Slasher Tooth Necklace
1,33032,128,Simple Claviger Sleeves
65535,149,64,Zirkanamef's Shrouded Spaulders
65535,16942,64,Zirkanamef's Stormhide Mantle
65515,33096,1048576,Xantheos' Girdle of Honor
41033,128,24576,Wroulf's Rallying Horn
65407,47495,2048,Idol of Brell Serilis
65535,33695,8,Zealot's Faceguard of Terrified Aggression
60671,8576,8,Visage of the Somnium Minion
65535,546,256,Zerkelos Ashen Cloak of Damnation
65535,32446,64,Weight of the Dark Denizen
65535,15934,26624,Tome of Self Reflection
65535,33045,0,Gnoll Warriors Crest
65535,33160,0,Writ of Thunder
65535,5,0,Tempest Rune
60635,48111,16384,Bone Talisman
65535,40959,24576,Bitter Bill Doll
65535,3072,24576,Wand of the Burning Dead
65535,33105,1048576,Worn Belt Buckle
20331,33425,26624,Idol of Rallos Zek
19657,47495,26624,Idol of Brell Serilis
16737,48915,26624,Idol of Innoruuk
77,15494,26624,Idol of Prexus
16475,48007,26624,Idol of Mithaniel Marr
18497,15635,26624,Idol of Bertoxxulous
19707,386,26624,Idol of Fizzlethorpe Bristlebane
93,14534,26624,Idol of Quellious
73,14727,26624,Idol of Rodcet Nife
60639,33775,1048576,Purified Spirit Belt
65503,50159,131072,Purified Spirit Tunic
55349,31744,24576,Tome of Innovation
56573,15394,24576,Bindings of the Scribe
49151,32767,0,Wegar's Missing Pages
64295,33751,1048576,Fabled Crystallized Shadow Belt
64295,50135,131072,Fabled Crystallized Shadow Tunic
65535,65535,0,Golden Championship Ring
16384,2567,16384,Guktan Initiates Soulstone
131071,4610,8,Preserved Teir`Dal Eye
65535,40,0,Wooden Whistle
65535,40,0,Wooden Whistle
65535,40,0,Wooden Whistle
65535,6144,0,Void Shard
65535,17936,0,Shroud of Dreams
65535,33097,0,Torn Luggald Robe
45091,720,4194304,Seal of the Khan
65535,2080,0,Stone of Marking
65535,65214,0,Lesser Shadowspine Rune
65535,49537,0,Scorpion Stinger
57343,49151,0,Wild Crescent Rose
60343,34816,0,Steam Core: Intensity
56533,68,0,Steam Core: Purification
43133,8320,0,Steam Core: Dream
47927,20480,0,Steam Core: Consort
0,0,0,lava golem flesh
65535,10278,4,Summoned: Halo of Light
65535,9216,24576,Summoned: Coldlight
51253,10240,24576,Summoned: Light Globe
65535,8224,24576,Summoned: Globe of Stars
65535,269,0,Well Balanced Planar Beam
65535,33037,0,Steel Bits
13058,49425,4196352,Velium Spear of Impaling
65535,49472,4196352,Summoned: Shuriken of Quellious
65535,49472,4196352,Summoned: Shuriken of Quellious
65535,64985,4196352,Velium Throwing Knife
65515,49537,4196352,Scorpion Stinger
65535,33737,4196352,Antonian Javelin
65535,49545,4196352,Tarmok Hunting Spear
65535,49152,4196352,Balanced War Axe
65535,50121,4196352,War Javelin
65535,14368,0,Scroll of Detect Invisibility
65535,1536,0,Spell: Scourge
65535,31232,0,Spell: Invisibility
65535,25088,0,Spell: Ultravision
65535,21026,0,Spell: Summon Food
65535,2056,0,Spell: Glimpse
65535,554,0,Spell: Resist Fire
65535,1594,0,Spell: Resist Cold
65535,16934,0,Spell: Resist Poison
65535,17958,0,Spell: Resist Disease
65535,8742,0,Spell: Resist Magic
65535,14376,0,Spell: See Invisible
65535,25128,0,Spell: Enduring Breath
65535,17966,0,Spell: Counteract Disease
65535,9234,0,Spell: Invoke Fear
65535,11778,0,Spell: Paralyzing Earth
65535,8706,0,Spell: Paralyzing Earth
65535,2562,0,Spell: Paralyzing Earth
65535,8704,0,Spell: Swift like the Wind
65535,16902,0,Spell: Flash of Light
65535,15878,0,Spell: True North
65535,17982,0,Spell: Cure Disease
65535,1046,0,Spell: Ward Undead
65535,25134,0,Spell: Invigor
65535,16938,0,Spell: Endure Fire
65535,17978,0,Spell: Endure Cold
65535,17974,0,Spell: Endure Disease
65535,25126,0,Spell: Endure Magic
65535,11782,0,Spell: Root
65535,2086,0,Spell: Halo of Light
65535,9238,0,Spell: Invisibility vs. Undead
65535,16928,0,Spell: Sense Animals
65535,4138,0,Spell: Ward Summoned
65535,27176,0,Spell: Levitate
65535,520,0,Spell: Feet like Cat
65535,16936,0,Spell: Spirit of Wolf
65535,16896,0,Spell: Turtle Skin
65535,1030,0,Spell: Spirit Armor
65535,3088,0,Spell: Steelskin
65535,1042,0,Spell: Word of Spirit
65535,1026,0,Spell: Word of Souls
65535,8746,0,Spell: Extinguish Fatigue
65535,17920,0,Spell: Venom of the Snake
65535,10248,0,Spell: Bind Sight
65535,8198,0,Spell: Soothe
65535,4130,0,Spell: Expulse Summoned
65535,21026,0,Spell: Summon Food
65535,15878,0,Spell: True North
65535,11782,0,Spell: Root
65535,25128,0,Spell: Enduring Breath
65535,27176,0,Spell: Levitate
65535,25126,0,Spell: Endure Magic
65535,25134,0,Spell: Invigor
65535,25088,0,Spell: Ultravision
65535,8742,0,Spell: Resist Magic
65535,8746,0,Spell: Extinguish Fatigue
65535,11778,0,Spell: Paralyzing Earth
65535,8706,0,Spell: Paralyzing Earth
65535,2562,0,Spell: Paralyzing Earth
65535,11782,0,Spell: Root
65535,2086,0,Spell: Halo of Light
65535,27176,0,Spell: Levitate
65535,11778,0,Spell: Paralyzing Earth
65535,8706,0,Spell: Paralyzing Earth
65535,2562,0,Spell: Paralyzing Earth
65535,9234,0,Spell: Invoke Fear
65535,11782,0,Spell: Root
65535,1026,0,Spell: Word of Souls
65535,11778,0,Spell: Paralyzing Earth
65535,8706,0,Spell: Paralyzing Earth
65535,2562,0,Spell: Paralyzing Earth
65535,24106,0,Spell: Annul Magic
65535,8194,0,Spell: Wake of Tranquility
65535,9218,0,Spell: Trepidation
65535,4136,0,Spell: Exile Summoned
65535,8736,0,Spell: Everlasting Breath
65535,10784,0,Spell: Levitation
65535,4128,0,Spell: Destroy Summoned
65535,9728,0,Spell: Imbue Disease
65535,1542,0,Spell: Greater Immobilize
65535,1538,0,Spell: Petrifying Earth
65535,30256,0,Spell: Tiny Companion
65535,12288,0,Spell: Imbue Water
65535,1568,0,Spell: Reebo's Lesser Exorcism
65535,21026,0,Spell: Summon Food
65535,16396,0,Spell: Salve
65535,548,0,Spell: Cure Corruption Rk. III
65535,4608,0,Spell: Malosinise Rk. III
65535,5120,0,Spell: Aegis of Kildrukaun Rk. III
65535,6176,0,Spell: Twincast Rk. III
65535,65,0,Tome of Punch Through Rk. III
65535,49501,0,Tome of Respite Rk. III
65535,257,0,Tome of Weapon Bond Rk. III
65535,256,4194304,Zombie Bane
65535,49437,0,Potion of Draconic Rage
19296,48919,32,Silver Sigil of T`Vyl
19296,48663,32,Golden Sigil of T`Vyl
65535,16994,18,Sanctum Guardian's Earring
19233,530,32,Sleek Black Beads
65535,32,18,Xanthe`s Earring of Nature
56165,48927,18,Ivandyr's Hoop
50265,47,98304,Ring of Pine
65535,47599,32,Prayer Beads
4,15087,32,Rosary of Quellious
2173,2176,98304,Imbued Silver Fire Ring
65535,4640,98304,White Ceramic Band
65535,15420,18,Earring of the Oakwynds
65535,14888,8,Tae Ew Ritualists Mask
65515,33537,98304,Ring of Ill Touch
7013,16159,18,Ancient Ivandyr's Hoop
65535,33745,32,Fingerbone Necklace
65535,49629,18,Zraxthril's Studded Earring
65407,32312,98304,Wendia's Shining Guardlet
65535,32290,18,Vyers' Stud
65535,32302,98304,Rule
17185,15874,8192,Writ of Innoruuk
65535,33305,8192,Runed Othmir Spear
65535,32789,8192,Wind Lance
65535,33437,8192,Goranga Spear
65535,16576,24576,Patriarch Claws
65535,16448,24576,Zun`Muram Katar
65535,49480,1,Wanderer's Whistle
65535,16597,2097150,Glowing Stone of Precision
65535,64893,2097150,Scion Stone of Disruption
65535,31808,2097150,Ledanne's Jewel of Cessation
65535,16631,2097150,Enchanted Orb of Defense
65535,16471,2097150,Ice Shards of Deadly Strikes
65535,33694,939652,Yenner's Rock of Enhanced Protection
65535,48904,2097150,Glowing Stone of Agility
65535,33161,24576,Weighted Stone of Prowess
65535,49687,2097150,Cauldron-Cursed Shard of Power
65535,15906,24576,Zykean's Iris
65535,29,8192,Wurmslayer
65535,25,24576,Lamentation
65535,153,24576,Sarnak Skullsplitter
65535,189,24576,Fiercewind
42057,168,24576,Foraging Machette
65535,297,24576,Glaive of Marltek
65535,957,24576,Frenzied Gnawer Tail
65535,509,8192,Efreeti Scimitar
65535,273,8192,The Scimitar of Lifestealing
55333,1177,8192,Scythe of Sundering
0,30719,24576,Summoned: Blade of Walnan
0,32639,24576,Summoned: Blade of the Kedge
65535,441,24576,Fading Shadow Scimitar
65535,137,8192,Wurm Tendon Whip
65535,413,24576,Zraxthril Forged Cutlass
65535,445,24576,Zraxthril Forged Flamberge
57333,20,8192,Yarnhilted Longsword
65515,393,24576,Zealot's Cleaver
65535,32769,8192,Fleshripper
65535,32785,8192,Zealot's Incarnadine Sword
65535,33809,8192,Pestilence Scythe
65535,34813,8192,Pestilence Scythe
65535,32796,8192,Fabled Coral Hilted Tulwar
65515,32769,8192,Fleshripper
65535,32784,8192,Dalur Ak-Daal
65535,409,24576,Well-Balanced Rapier
65535,16392,24576,Steel Hilted Flint Dagger
65535,16769,24576,Sebilite Croaking Dirk
65535,17680,24576,Stiletto of the Bloodclaw
32698,32000,24576,Dagger of Dropping
65535,32128,26624,Sarnak Ceremonial Dagger
65535,32153,24576,Yttrium Dagger
65535,281,24576,The Horn of Hsagra
65535,16281,24576,Ry`Gorr Mining Pick
65535,32669,8192,Willsapper
65535,32157,24576,Unadorned Bone Dagger
65535,17309,24576,Wooden Stabbing Spear
65535,17181,24576,Sharpened Mandible Spear
65535,925,24576,Trident of Slaughter
65535,32649,24576,Premier Stiletto of Secundae
65535,32017,24576,Walrus Tooth
65535,17161,8192,Spine Chill Spear
65535,401,24576,Trident of the Deep Sea
65535,265,16384,Nevederia's Horn
65535,16793,24576,Veteran's Dagger
64311,15872,8192,Simple Defiant Dagger
65535,8448,8192,Jagged Silver Shortsword
65535,768,8192,Trident of Freed Spirits
65535,512,8192,Zun'Muram's Spear of Doom
65535,32137,24576,Twisted Shank
65535,32697,24576,Shiliskin Dagger
65515,16777,24576,Volatile Blackflame Stiletto
65535,17002,24576,Sap Encrusted Branch
65535,132,24576,Guardians Mace
65535,1041,24576,Scepter of the Forlorn
65535,767,24576,Spiked Velium Mallet
62423,611,8192,Iron Bound Tome
65535,16873,24576,Valorous Quarterstaff
64359,465,26624,Shaded Torch
65535,16927,24576,Club of the Ice Ocean
65535,1023,24576,Wooden Practice Flail
65535,17391,24576,Torklar's Great Hammer
65535,16840,24576,Fabled Baton of Flame
65535,17407,24576,Zraxthril Forged Mace
65535,16290,8192,Staff of the Dark Apprentice
65535,16384,24576,Zun'Muram's Scepter of Chaos
65535,16841,24576,"Yarusha, the Storm's Fury"
0,63487,24576,Summoned: Staff of the North Wind
62243,65143,8192,Enchanted Teir`Dal Great Staff
65535,33303,8192,Poison Wind Censer
65535,32841,8192,Stormwood Battle Staff
65535,64034,8192,Staff of the Observers
65535,49766,8192,Warhammer of Ethereal Energy
65535,49696,8192,Fungus Covered Great Staff
65535,34880,8192,Lasnik's Staff
65535,33791,8192,Yttrium War Hammer
65535,64576,8192,Staff of Null
64295,50769,8192,Hammer of Exoneration
65535,49695,8192,Hammer of Rage
65535,50240,8192,Abashi's Rod of Disempowerment
65535,49751,8192,Facesmasher
65535,65279,8192,Shovel of the Harvest
65535,4,8192,Zraxthril Warhammer
65535,48738,8192,Lost Calling Staff of Cazic Thule
65535,49702,8192,Staff of Forbidden Rites
65535,550,8192,Staff of Forbidden Rites
65535,49245,8192,Wurine Sledge
65535,285,2048,Yttrium-Imbued Oak Bow
65535,28,2048,Skydarkener
65535,9,2048,War Bow of Rallos Zek
65535,959,16384,Velium Round Shield
13058,17311,16384,Large Round Shield
65535,535,16384,Clay Guardian Shield
65535,927,16384,Validus Custodus Shield
65535,31,16384,Efreeti War Shield
65535,1,16384,Zek Crested Buckler
65535,703,16384,Tae Ew Shield
65535,16412,16384,Raptor Hide Shield
65535,831,16384,Walrusbone Shield
8962,785,16384,Runebranded Stone Buckler
65535,575,16384,Whitestone Shield
65535,567,16384,Fabled Bone Chill Shield
65535,1088,16384,Blood-Stained Mirror
65535,48695,16384,Ice Coated Shield of Defense
8192,17281,16384,Paludal Carapace Shield
65535,16861,16384,Warleader's Shield
65535,32298,2048,Wand of the Vortex
65535,50653,2048,Kranigan's Instruction Manual
65535,8866,2048,Worn Children's Doll
65535,48785,24576,Forlorn Totem of Rolfron Zek
65535,30384,16384,Preserved Chokidai Vocal Cords
65535,674,24576,Wooden Totem
65535,15410,24576,Blackened Sapphire
61439,13312,24576,Tome of Miragul
65535,15376,8192,Zlandicar's Heart
65535,16512,2048,Gold Chime of Resonance
65535,65497,4196352,Summoned: Throwing Dagger
65535,49472,4196352,Summoned: Shuriken of Quellious
65535,32788,8192,White Fire Lance
65535,50073,8192,Spear of Permafrost
65535,32797,8192,Zonoraz' Impaler
